domain,budget,physical_cells,prediction_rows,selected_pchp_alpha,selected_control_alpha,selected_control_offset,baseline_cell_macro_mae,pchp_cell_macro_mae,control_cell_macro_mae,pchp_minus_baseline,pchp_minus_control,maximum_pchp_displacement,maximum_observed_pchp_loss_regret,maximum_cell_macro_pchp_harm,pchp_nonincreasing,baseline_nonincreasing,control_nonincreasing
HNEI,0.01,14,15085,0.005,0.005,0.01,0.06529650057195181,0.05700020111159263,0.0736679218268596,-0.008296299460359181,-0.016667720715266975,0.010000000000000009,0.010000000000000009,0.0012097404172445592,True,True,True
HNEI,0.015,14,15085,0.005,0.005,0.015,0.06529650057195181,0.053112662665547594,0.07800660127649647,-0.012183837906404218,-0.02489393861094888,0.015000000000000013,0.015000000000000013,0.0012550939515104942,True,True,True
HNEI,0.02,14,15085,0.005,0.005,0.015391472163587383,0.06529650057195181,0.04949554764739411,0.07834969440596642,-0.0158009529245577,-0.028854146758572313,0.020000000000000018,0.020000000000000018,0.0011751797438479261,True,True,True
HNEI,0.03,14,15085,0.005,0.005,0.015391472163587383,0.06529650057195181,0.04312812125928667,0.07834969440596642,-0.022168379312665146,-0.03522157314667976,0.030000000000000027,0.030000000000000027,0.0006627858328799308,True,True,True
HUST,0.0,77,145735,0.01,0.01,0.0,0.033946924159621715,0.033946924159621715,0.033946924159621715,0.0,0.0,0.0,0.0,0.0,True,True,True
HUST,0.0025,77,145735,0.01,0.01,0.0025,0.033946924159621715,0.032802300479350247,0.03378173875622702,-0.0011446236802714685,-0.0009794382768767707,0.0024999999999999467,0.0024999999999999467,0.0005785652132255306,True,True,True
HUST,0.005,77,145735,0.01,0.015,0.005,0.033946924159621715,0.03187198733363538,0.03360466722269343,-0.0020749368259863343,-0.0017326798890580503,0.0050000000000000044,0.0050000000000000044,0.0015970266230128788,True,True,True
HUST,0.0075,77,145735,0.01,0.015,0.0075,0.033946924159621715,0.031249880515612855,0.03376689112697595,-0.00269704364400886,-0.0025170106113630956,0.007500000000000062,0.007499999999999951,0.0033908126409034414,True,True,True
HUST,0.01,77,145735,0.01,0.015,0.01,0.033946924159621715,0.030855834017635142,0.03426344947362597,-0.003091090141986573,-0.003407615455990831,0.010000000000000009,0.010000000000000009,0.005357697854003904,True,True,True
HUST,0.015,77,145735,0.01,0.02,0.015,0.033946924159621715,0.030363330571976474,0.03551789067157997,-0.003583593587645241,-0.005154560099603495,0.015000000000000013,0.015000000000000013,0.009299511813102145,True,True,True
HUST,0.02,77,145735,0.01,0.02,0.02,0.033946924159621715,0.03000877132541228,0.03782755741362717,-0.0039381528342094345,-0.007818786088214891,0.020000000000000018,0.020000000000000018,0.01235392876063901,True,True,True
HUST,0.03,77,145735,0.01,0.03,0.027491178529702398,0.033946924159621715,0.030153210496037978,0.041428526325176525,-0.003793713663583737,-0.011275315829138547,0.030000000000000027,0.030000000000000027,0.014298305499506878,True,True,True
MATR,0.0,169,139148,0.015,0.015,0.0,0.05078703072873228,0.05078703072873228,0.05078703072873228,0.0,0.0,0.0,0.0,0.0,True,True,True
MATR,0.0025,169,139148,0.015,0.015,0.0025,0.05078703072873228,0.050160536333240587,0.049018573097458204,-0.0006264943954916932,0.0011419632357823825,0.0025000000000000577,0.0024999999999999467,0.002049070280470189,True,True,True
MATR,0.005,169,139148,0.015,0.015,0.005,0.05078703072873228,0.04980727649889404,0.04729919963500309,-0.000979754229838238,0.00250807686389095,0.0050000000000000044,0.0050000000000000044,0.004166569803390245,True,True,True
