domain,cell_id,pchp_cell_mae,control_cell_mae,prediction_rows,pchp_minus_control
HUST,HUST/HUST_1-3,0.03701967732233645,0.037613543015204136,1853,-0.0005938656928676858
HUST,HUST/HUST_1-4,0.03520809145528211,0.03569221243510342,1495,-0.00048412097982131197
HUST,HUST/HUST_1-5,0.03783046122813412,0.038853465698305216,1966,-0.0010230044701710975
HUST,HUST/HUST_1-6,0.04210134755776292,0.0463894818163035,1138,-0.004288134258540577
HUST,HUST/HUST_1-7,0.020680559428905596,0.027831006433451842,1673,-0.007150447004546246
HUST,HUST/HUST_1-8,0.02411547995210911,0.03156208320881658,2280,-0.007446603256707471
HUST,HUST/HUST_10-1,0.02425402401105305,0.030658976013589797,1697,-0.006404952002536747
HUST,HUST/HUST_10-2,0.03917534976135978,0.03932897182822564,1692,-0.00015362206686585916
HUST,HUST/HUST_10-3,0.030776358124737307,0.037307987395506746,1843,-0.006531629270769439
HUST,HUST/HUST_10-4,0.03170556817237273,0.03369889412827813,1806,-0.0019933259559054006
HUST,HUST/HUST_10-5,0.035134689239256216,0.035836741019240025,2025,-0.0007020517799838089
HUST,HUST/HUST_10-6,0.03257165026645294,0.03976808559181386,2280,-0.007196435325360927
HUST,HUST/HUST_10-7,0.033643036406185066,0.0336514363674997,1778,-8.399961314631277e-06
HUST,HUST/HUST_10-8,0.025446430234526016,0.03305526178014406,1395,-0.007608831545618047
HUST,HUST/HUST_2-2,0.033417667299609884,0.03616974939971166,2646,-0.002752082100101777
HUST,HUST/HUST_2-3,0.03516696558099517,0.03603077157078639,1746,-0.0008638059897912165
HUST,HUST/HUST_2-4,0.021781078028267405,0.02970361389540982,1494,-0.007922535867142415
HUST,HUST/HUST_2-5,0.034580865494097356,0.035343888319886836,1381,-0.0007630228257894806
HUST,HUST/HUST_2-6,0.03282038994726383,0.03301743214801711,1567,-0.0001970422007532835
HUST,HUST/HUST_2-7,0.03377785156554424,0.034100025908809374,2197,-0.00032217434326513306
HUST,HUST/HUST_2-8,0.026022882484258974,0.03681608448209113,1476,-0.010793201997832156
HUST,HUST/HUST_3-1,0.03697300702619711,0.03756419178676508,1933,-0.0005911847605679713
HUST,HUST/HUST_3-2,0.03892919506717479,0.03902955226153507,2278,-0.00010035719436028018
HUST,HUST/HUST_3-3,0.03550143926400727,0.03553463405996379,1644,-3.319479595652319e-05
HUST,HUST/HUST_3-4,0.029603665147959573,0.03487679635560848,1761,-0.005273131207648909
HUST,HUST/HUST_3-5,0.040532319745839346,0.04531364165786798,2652,-0.004781321912028631
HUST,HUST/HUST_3-6,0.037118952202722356,0.03723849143183794,2486,-0.00011953922911558251
HUST,HUST/HUST_3-7,0.03057627824152903,0.03705563246374267,2474,-0.006479354222213636
HUST,HUST/HUST_3-8,0.038142938698734793,0.03823242794956421,2337,-8.948925082941789e-05
HUST,HUST/HUST_4-1,0.03702978578033674,0.04153031990099724,2212,-0.004500534120660496
HUST,HUST/HUST_4-2,0.03132607015974308,0.03388252929718412,1777,-0.0025564591374410417
HUST,HUST/HUST_4-3,0.021192489083255404,0.0291415843352828,1137,-0.007949095252027395
HUST,HUST/HUST_4-4,0.02064210805316333,0.027982432490324876,1486,-0.007340324437161545
HUST,HUST/HUST_4-5,0.027538954049736292,0.033779396257265906,1556,-0.006240442207529614
HUST,HUST/HUST_4-6,0.02863910006553207,0.0353838470414511,1375,-0.0067447469759190325
HUST,HUST/HUST_4-7,0.030497787417878102,0.03701960858533087,2211,-0.0065218211674527675
HUST,HUST/HUST_4-8,0.033736300441508334,0.03451065179050046,1701,-0.0007743513489921264
HUST,HUST/HUST_5-1,0.029141959171513042,0.03297286143513513,2502,-0.0038309022636220866
HUST,HUST/HUST_5-2,0.0349713753503075,0.035473545226719215,1921,-0.0005021698764117177
HUST,HUST/HUST_5-3,0.02873697079120961,0.031034132482130484,2684,-0.002297161690920875
HUST,HUST/HUST_5-4,0.022479848503240883,0.028317832921639516,1957,-0.005837984418398633
HUST,HUST/HUST_5-5,0.036124690959282425,0.037008019688299386,1578,-0.0008833287290169606
HUST,HUST/HUST_5-6,0.028204631283036827,0.03238075312463088,2455,-0.004176121841594053
