outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
HNEI,XJTU,0.0050000000000000001,23,6823,0.034937073303048384
HUST,CALB,1,27,2629,0.018835679563950602
HUST,CALB,0.5,27,2629,0.018242610429125734
HUST,CALB,0.20000000000000001,27,2629,0.017418118824838652
HUST,CALB,0.10000000000000001,27,2629,0.016551647030470681
HUST,CALB,0.050000000000000003,27,2629,0.015447369232194995
HUST,CALB,0.029999999999999999,27,2629,0.014635357612984966
HUST,CALB,0.02,27,2629,0.014079875366420838
HUST,CALB,0.014999999999999999,27,2629,0.013796748474542354
HUST,CALB,0.01,27,2629,0.013523072785472597
HUST,CALB,0.0050000000000000001,27,2629,0.013305781331701237
HUST,CALCE,1,13,14233,0.2542887928186125
HUST,CALCE,0.5,13,14233,0.17265016761049318
HUST,CALCE,0.20000000000000001,13,14233,0.079479414776161841
HUST,CALCE,0.10000000000000001,13,14233,0.042341329428591541
HUST,CALCE,0.050000000000000003,13,14233,0.042805328652969633
HUST,CALCE,0.029999999999999999,13,14233,0.051181052509070082
HUST,CALCE,0.02,13,14233,0.059530514145895462
HUST,CALCE,0.014999999999999999,13,14233,0.066483825602995636
HUST,CALCE,0.01,13,14233,0.078437842143129516
HUST,CALCE,0.0050000000000000001,13,14233,0.10371544421857556
HUST,HNEI,1,14,15085,0.30170994987995775
HUST,HNEI,0.5,14,15085,0.19525284091935349
HUST,HNEI,0.20000000000000001,14,15085,0.085275899086340104
HUST,HNEI,0.10000000000000001,14,15085,0.045839549647397226
HUST,HNEI,0.050000000000000003,14,15085,0.03427840404134002
HUST,HNEI,0.029999999999999999,14,15085,0.033276719650355814
HUST,HNEI,0.02,14,15085,0.035604729104628904
HUST,HNEI,0.014999999999999999,14,15085,0.040691308317577099
HUST,HNEI,0.01,14,15085,0.053545935995520696
HUST,HNEI,0.0050000000000000001,14,15085,0.091276782869652934
HUST,MATR,1,169,139148,0.044183234564073935
HUST,MATR,0.5,169,139148,0.039392588566823011
