domain,cell_id,records,cell_mae,cell_rmse,method
MATR,MATR/MATR_b1c0,1843,0.03783431312229049,0.042529961265151496,selected_causal_method
MATR,MATR/MATR_b1c1,2153,0.04473556563903398,0.04980143363707976,selected_causal_method
MATR,MATR/MATR_b1c11,781,0.06116104118281973,0.06668060583761289,selected_causal_method
MATR,MATR/MATR_b1c14,873,0.061646223249616994,0.06757334762552523,selected_causal_method
MATR,MATR/MATR_b1c15,712,0.05654094674579168,0.06165435666901182,selected_causal_method
MATR,MATR/MATR_b1c16,855,0.05039185650491511,0.05458067994746922,selected_causal_method
MATR,MATR/MATR_b1c17,850,0.052899267873416714,0.057084531471143854,selected_causal_method
MATR,MATR/MATR_b1c18,683,0.04845035783144688,0.05055995162826385,selected_causal_method
MATR,MATR/MATR_b1c19,781,0.047296731551243885,0.05144090658138755,selected_causal_method
MATR,MATR/MATR_b1c2,2229,0.04441589067438418,0.04918501315823145,selected_causal_method
MATR,MATR/MATR_b1c20,526,0.029696043865376328,0.032206136703550305,selected_causal_method
MATR,MATR/MATR_b1c21,552,0.04014915164492385,0.042868784552455616,selected_causal_method
MATR,MATR/MATR_b1c23,1007,0.0665741287964693,0.07281198006030809,selected_causal_method
MATR,MATR/MATR_b1c24,1010,0.08228408481103079,0.08702487911985621,selected_causal_method
MATR,MATR/MATR_b1c25,847,0.0746419852222763,0.08018874003467229,selected_causal_method
MATR,MATR/MATR_b1c26,863,0.05439850560389538,0.05921167335068213,selected_causal_method
MATR,MATR/MATR_b1c27,835,0.0587417934228307,0.06367461106941859,selected_causal_method
MATR,MATR/MATR_b1c28,853,0.07460404674196273,0.079146413994738,selected_causal_method
MATR,MATR/MATR_b1c29,910,0.07712221941889402,0.08145490863056565,selected_causal_method
MATR,MATR/MATR_b1c3,1427,0.04536482937799961,0.05006819882678223,selected_causal_method
MATR,MATR/MATR_b1c30,701,0.054554645714410405,0.05835728812603882,selected_causal_method
MATR,MATR/MATR_b1c31,869,0.05888822648131867,0.06287239267661812,selected_causal_method
MATR,MATR/MATR_b1c32,724,0.0668748151729901,0.07089734412473069,selected_causal_method
MATR,MATR/MATR_b1c33,750,0.06607223028359141,0.07009958310562774,selected_causal_method
MATR,MATR/MATR_b1c34,735,0.06961411659919187,0.07407064727222953,selected_causal_method
MATR,MATR/MATR_b1c35,695,0.06639484978280247,0.07077304281297464,selected_causal_method
MATR,MATR/MATR_b1c36,697,0.07251330712375334,0.07673976774500785,selected_causal_method
MATR,MATR/MATR_b1c37,640,0.06966379058898169,0.07347753611629776,selected_causal_method
MATR,MATR/MATR_b1c38,610,0.05465740111778828,0.057443688477751075,selected_causal_method
MATR,MATR/MATR_b1c39,618,0.05544710162202979,0.058636960018107434,selected_causal_method
MATR,MATR/MATR_b1c4,1702,0.04637896872995926,0.05170103564275277,selected_causal_method
MATR,MATR/MATR_b1c40,959,0.07537998501134426,0.08114109209661405,selected_causal_method
