domain,cell_id,cell_mae,method
MATR,MATR/MATR_b4c6,0.05942395408745885,pointwise_tube
MATR,MATR/MATR_b4c7,0.062371173722852946,pointwise_tube
MATR,MATR/MATR_b4c8,0.032702179710612914,pointwise_tube
MATR,MATR/MATR_b4c9,0.06887039769484649,pointwise_tube
MICH,MICH/MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j,0.109418136950087,pointwise_tube
MICH,MICH/MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a,0.06417617138406015,pointwise_tube
MICH,MICH/MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b,0.08403902852387098,pointwise_tube
MICH,MICH/MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c,0.10049636892440918,pointwise_tube
MICH,MICH/MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d,0.07530816437364947,pointwise_tube
MICH,MICH/MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e,0.09974955450335944,pointwise_tube
MICH,MICH/MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f,0.0957367979332544,pointwise_tube
MICH,MICH/MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g,0.13496461420726136,pointwise_tube
MICH,MICH/MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h,0.11203907742768625,pointwise_tube
MICH,MICH/MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i,0.0939357474450861,pointwise_tube
MICH,MICH/MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a,0.15357563016059836,pointwise_tube
MICH,MICH/MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j,0.1284622798383532,pointwise_tube
MICH,MICH/MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b,0.1478247492816084,pointwise_tube
MICH,MICH/MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c,0.07521697824052011,pointwise_tube
MICH,MICH/MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d,0.15714573176005497,pointwise_tube
MICH,MICH/MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e,0.1508068825172068,pointwise_tube
MICH,MICH/MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f,0.09689635553904921,pointwise_tube
MICH,MICH/MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g,0.12097305311844676,pointwise_tube
MICH,MICH/MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h,0.14943920176221795,pointwise_tube
MICH,MICH/MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i,0.2832617105959473,pointwise_tube
MICH,MICH/MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a,0.05641297783608319,pointwise_tube
MICH,MICH/MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b,0.12588699753095745,pointwise_tube
MICH,MICH/MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c,0.06542221822324461,pointwise_tube
MICH,MICH/MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d,0.0752591421198488,pointwise_tube
MICH,MICH/MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e,0.07518764183999353,pointwise_tube
MICH,MICH/MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f,0.06620436468599493,pointwise_tube
MICH,MICH/MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g,0.06622508407353588,pointwise_tube
MICH,MICH/MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h,0.0825354430014693,pointwise_tube
MICH,MICH/MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i,0.09950414225803418,pointwise_tube
MICH,MICH/MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j,0.06601672315967833,pointwise_tube
MICH,MICH/MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a,0.08875575781661432,pointwise_tube
MICH,MICH/MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b,0.05321402352621194,pointwise_tube
MICH,MICH/MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c,0.06918009578518253,pointwise_tube
MICH,MICH/MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d,0.04297294811646838,pointwise_tube
MICH,MICH/MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e,0.053155245910916055,pointwise_tube
MICH,MICH/MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f,0.07909954390660955,pointwise_tube
MICH,MICH/MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g,0.05841690736947105,pointwise_tube
MICH,MICH/MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h,0.0917623120006919,pointwise_tube
MICH,MICH/MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i,0.0727207408564788,pointwise_tube
MICH,MICH/MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j,0.055657486009840586,pointwise_tube
MICH_EXP,MICH_EXP/MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C,0.0764936040184325,pointwise_tube
MICH_EXP,MICH_EXP/MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C,0.013253316951478678,pointwise_tube
MICH_EXP,MICH_EXP/MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C,0.0430743058617703,pointwise_tube
MICH_EXP,MICH_EXP/MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C,0.09295225790868228,pointwise_tube
MICH_EXP,MICH_EXP/MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C,0.042832924741434755,pointwise_tube
MICH_EXP,MICH_EXP/MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C,0.08785666416034318,pointwise_tube
MICH_EXP,MICH_EXP/MICH_07R_pouch_NMC_25C_0-100_2-2C,0.1641458290109016,pointwise_tube
MICH_EXP,MICH_EXP/MICH_08C_pouch_NMC_-5C_0-100_2-2C,0.017419619733149535,pointwise_tube
